name,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,latitude,longitude,website_url,website_effective_url,website_http_status,website_is_valid,website_discovery_method,menu_url,menu_http_status,menu_is_valid,menu_discovery_method
Eethuis Lage Veld,Parijsplein,12,2548VL,'s-Gravenhage,,52.0194672,4.2972684,https://www.eethuislageveld.nl/,,,false,,,,false,
Yara Grieks Eten & Grillroom,Steenwijklaan,62,2541RM,'s-Gravenhage,,52.0442827,4.2828323,https://www.thuisbezorgd.nl/,,,false,,,,false,
La Lanterna,Keizerstraat,30,2584BJ,'s-Gravenhage,NL,52.1061971,4.2737365,,,,false,,,,false,
Vincenzo's,Prinsestraat,12,2513CD,'s-Gravenhage,,52.0784549,4.3062881,https://vincenzos.nl/location/pizzeria-centrum,,,false,,,,false,
Sun Wah,Badhuisstraat,35,2584HD,'s-Gravenhage,NL,52.1054464,4.2791619,,,,false,,,,false,
Weduwe van der Toorn,Treilerdwarsweg,2,2583DA,'s-Gravenhage,NL,52.1013898,4.2693523,,,,false,,,,false,
Anaya Foods,Duinstraat,1,2584AV,'s-Gravenhage,,52.1021696,4.2780879,https://anayafoods.nl/home/,,,false,,,,false,
Restaurant Lemongrass,Doctor Lelykade,24,2583CM,'s-Gravenhage,NL,52.1003256,4.2710175,https://www.lemongrass.nl/,,,false,,,,false,
Thais Oriëntal Phuket,Schokkerweg,35,2583BH,'s-Gravenhage,NL,52.1004223,4.2709973,http://www.restaurant-phuket.nl/,,,false,,,,false,
Puerto Segundo,Schokkerweg,37,2583BH,'s-Gravenhage,NL,52.1001630,4.2714836,,,,false,,,,false,
La Tavola,Doctor Lelykade,24A,2583CM,'s-Gravenhage,NL,52.1004033,4.2708292,https://latavola.nl/,,,false,,,,false,
Dap & Co,Schokkerweg,39,2583BH,'s-Gravenhage,NL,52.0999283,4.2719888,,,,false,,,,false,
Brouwcafe de Hofnar,Dr. Lelykade,28,2583CM,'s-Gravenhage,NL,52.0999151,4.2717439,,,,false,,,,false,
Pizzeria Ristorante La Stella Marina,Dr. Lelykade,23,2583CL,'s-Gravenhage,NL,52.0950890,4.2657048,,,,false,,,,false,
SuzieQ,Dr. Lelykade,33-37,2583CL,'s-Gravenhage,NL,52.0947376,4.2652162,,,,false,,,,false,
De Dagvisser,Dr. Lelykade,26,2583CM,'s-Gravenhage,NL,52.1000949,4.2713463,https://www.dedagvisser.nl/,,,false,,,,false,
Palermo,,,,,,52.0483388,4.2360909,,,,false,,,,false,
La Dolce Vita,,,,,,52.0753578,4.2804437,,,,false,,,,false,
Crazy Pianos,Strandweg,21-29,2586JK,'s-Gravenhage,NL,52.1135072,4.2811684,,,,false,,,,false,
Simonis Aan De Boulevard,Strandweg,77-79,2586JL,'s-Gravenhage,NL,52.1151255,4.2836990,,,,false,,,,false,
Big Bell,Strandweg,41,2586JL,'s-Gravenhage,NL,52.1142620,4.2821088,,,,false,,,,false,
1900 aan Zee,Keizerstraat,49,2584BB,'s-Gravenhage,NL,52.1063884,4.2732232,,,,false,,,,false,
Columbus,Strandweg,47,2586JL,'s-Gravenhage,NL,52.1143479,4.2824928,,,,false,,,,false,
Danielz,Strandweg,43,2586JL,'s-Gravenhage,NL,52.1142818,4.2823811,,,,false,,,,false,
Dok 28,Dr. Lelykade,28b,2583CM,'s-Gravenhage,NL,52.0997838,4.2719961,https://dok28.nl/,,,false,,,,false,
't Boothuys,Strandweg,11F,2586JK,'s-Gravenhage,NL,52.1119561,4.2788206,https://tboothuys.nl/,,,false,,,,false,
Steam,Strandweg,55,2586JL,'s-Gravenhage,NL,52.1145276,4.2825087,https://www.steamscheveningen.nl/,,,false,,,,false,
Mero,Vissershavenweg,61e,2583DL,'s-Gravenhage,NL,52.1019827,4.2682202,https://www.merovis.nl/,,,false,,,,false,
Greekz,Dr. Lelykade,21,2583CL,'s-Gravenhage,NL,52.0951202,4.2658585,http://greekz.nl/,,,false,,,,false,
Haringhuisje,Vissershavenweg,66,2583DL,'s-Gravenhage,NL,52.1023382,4.2674922,https://www.hetharinghuisje.nl/,,,false,,,,false,
Sarican,,,,,,52.0728344,4.2927235,,,,false,,,,false,
Datça,,,,,,52.0817323,4.2829065,,,,false,,,,false,
Sushi Morikawa,,,,,,52.0897771,4.3104080,,,,false,,,,false,
Reina,Vissershavenweg,55A,2583DL,'s-Gravenhage,NL,52.1014681,4.2691547,,,,false,,,,false,
Taste Fresh,,,,,,52.0791197,4.2695585,,,,false,,,,false,
Café Constant,Neptunusstraat,2,2586GS,'s-Gravenhage,NL,52.1069264,4.2809555,https://www.cafeconstant.nl/,,,false,,,,false,
Casa Capello,,,,,,52.0917340,4.3021511,,,,false,,,,false,
Rotana,,,,,,52.0715118,4.3204794,,,,false,,,,false,
Hang Zhou,,,,,,52.0515649,4.3054816,https://www.hang-zhou.nl/,,,false,,,,false,
Enfes Lounge,Soestdijksekade,593,2574BH,'s-Gravenhage,,52.0614136,4.2772804,,,,false,,,,false,
Indian Bay Dreams,Doctor Lelykade,222B,2583CP,'s-Gravenhage,NL,52.0947873,4.2658483,https://www.indianbaydreams.nl/,,,false,,,,false,
Het Gouden Kalf,Dr. Lelykade,1d,2583CL,'s-Gravenhage,,52.0982395,4.2703139,https://www.hetgoudenkalf.nl/,,,false,,,,false,
Anfa Restaurant,Stationsweg,81,2515BK,'s-Gravenhage,,52.0726682,4.3193005,https://anfarestaurant.nl/,,,false,,,,false,
Bar Bowie,Regentesselaan,24A,2562CS,'s-Gravenhage,,52.0794304,4.2827734,https://www.barbowie.nl/,,,false,,,,false,
De Kleine Weimar,,,,,,52.0717575,4.2735937,,,,false,,,,false,
Kisaan,,,,,,52.0781316,4.2857328,,,,false,,,,false,
Rawien's Broodjes,Weimarstraat,60A,2562HA,'s-Gravenhage,,52.0774059,4.2843548,https://www.rawiensbroodjes.nl/foodticket/,,,false,,,,false,
Toko Cendana,Laan van Meerdervoort,164A,,'s-Gravenhage,,52.0818978,4.2885271,,,,false,,,,false,
Little Miss Sangria,Reinkenstraat,61,2517CR,'s-Gravenhage,,52.0816496,4.2835125,https://www.littlemisssangria.nl/,,,false,,,,false,
Le Borsalino,Laan van Meerdervoort,196A,,'s-Gravenhage,,52.0809721,4.2864428,https://borsalino.nl/,,,false,,,,false,
Restaurant Ruby,,,,,,52.0654171,4.2538904,,,,false,,,,false,
Eetcafé Augustus,Reinkenstraat,75,2517CS,'s-Gravenhage,,52.0819860,4.2832379,https://www.eetcafe-augustus.nl/,,,false,,,,false,
Proeflokaal Bregje,Laan van Meerdervoort,209,,'s-Gravenhage,,52.0809933,4.2835134,https://bregje.nl/uit-eten/den-haag/,,,false,,,,false,
Kicking Horse,,,,,,52.0910226,4.2739513,,,,false,,,,false,
De Vegetarische Toko,Prins Hendrikstraat,150A,2518HX,'s-Gravenhage,NL,52.0806479,4.2906371,https://www.devegetarischetoko.nl/,,,false,,,,false,
Oscars,Gevers Deynootweg,205,2586HZ,'s-Gravenhage,,52.1176012,4.2882878,https://oscars.nl/,,,false,,,,false,
Buen Provecho,Weteringkade,1,2515AK,'s-Gravenhage,NL,52.0727018,4.3246476,,,,false,,,,false,
Veggies on Fire,Beeklaan,385,2562AZ,'s-Gravenhage,,52.0784785,4.2776822,https://www.veggiesonfire.nl/,,,false,,,,false,
Sonya,Keizerstraat,122,2584BL,'s-Gravenhage,,52.1051306,4.2750332,,,,false,,,,false,
La Galleria Kurhausplein,Gevers Deynootplein,105,2586CP,'s-Gravenhage,,52.1130294,4.2826072,https://www.lagalleria.nl/,,,false,,,,false,
Café de Bayonne,Keizerstraat,126,2584BM,'s-Gravenhage,,52.1050329,4.2751514,,,,false,,,,false,
Argentijns Grill Restaurant Santos,Gevers Deynootplein,120,2586CP,'s-Gravenhage,,52.1128035,4.2829112,https://www.santos.nl/,,,false,,,,false,
Kaai 13,Dunne Bierkade,13,2512BC,'s-Gravenhage,,52.0735984,4.3157913,https://www.kaai-13.nl/,,,false,,,,false,
Sui Sha Ya,Zwolsestraat,1,2587TX,'s-Gravenhage,,52.1141774,4.2848373,https://suishaya.nl/,,,false,,,,false,
Rodizio Brazilian Grill,Gevers Deynootplein,125,2586CR,'s-Gravenhage,,52.1124904,4.2824430,https://www.rodizio.nl/,,,false,,,,false,
Toko Bali,Simon Carmiggelthof,21,2492JR,'s-Gravenhage,,52.0652447,4.4015342,,,,false,,,,false,
Soul Kitchen,Jaap Hoekdreef,60,2492JS,'s-Gravenhage,,52.0648143,4.4013783,,,,false,,,,false,
De Smulhoeve,Socrateslaan,73,2493ZV,'s-Gravenhage,,52.0617255,4.3986312,https://www.ipsedebruggen.nl/lunchcafe-de-smulhoeve,,,false,,,,false,
Yami yami,Jaap Hoekdreef,20,2492JS,'s-Gravenhage,,52.0650843,4.4013234,https://yami-yami.nl/,,,false,,,,false,
Karsten en Kuiper,,,,,,52.0811066,4.2912619,,,,false,,,,false,
Coast Fish,Stevinstraat,126a,2587ER,'s-Gravenhage,,52.1104766,4.2899022,,,,false,,,,false,
Poetri Ajoe,Van Boetzelaerlaan,134,2581AX,'s-Gravenhage,,52.0914051,4.2706672,,,,false,,,,false,
Laartje,Antonie Duyckstraat,141,2582TH,'s-Gravenhage,,52.0923746,4.2749221,,,,false,,,,false,
De Pier Pannenkoeken,Strandweg,154,2586JW,'s-Gravenhage,,52.1177228,4.2798491,,,,false,,,,false,
Grand Café Restaurant Westewind,Strandweg,15,2586JK,'s-Gravenhage,NL,52.1130898,4.2806397,https://westewind.nl/,,,false,,,,false,
Zilt,Strandweg,150,2586JW,'s-Gravenhage,,52.1170319,4.2794429,https://www.ziltopdepier.nl/,,,false,,,,false,
Isola Sardegna,Keizerstraat,18,2584BJ,'s-Gravenhage,,52.1063576,4.2735382,,,,false,,,,false,
O Sole Mio,Stevinstraat,204,2587EV,'s-Gravenhage,,52.1110994,4.2926111,https://osolemiodenhaag.nl/,,,false,,,,false,
Gastrovino La Liguria,Kranenburgweg,201,2583ER,'s-Gravenhage,,52.0956232,4.2611261,https://www.gastrovinolaliguria.nl/scheveningen/nl/,,,false,,,,false,
Hudson Bar & Kitchen,Aert van der Goesstraat,21,2582AH,'s-Gravenhage,,52.0881048,4.2766946,,,,false,,,,false,
Grand Café Restaurant Vitesse,Strandweg,19,2586JK,'s-Gravenhage,NL,52.1132862,4.2809335,https://www.vitesse-scheveningen.nl/,,,false,,,,false,
't Pannekoekenhuisje Scheveningen,Strandweg,17,2586JK,'s-Gravenhage,NL,52.1131896,4.2807890,https://hetpannekoekenhuisje.nl/,,,false,,,,false,
New World,Dr. Lelykade,220C,2583CP,'s-Gravenhage,,52.0948748,4.2659603,https://www.newworld-denhaag.nl/,,,false,,,,false,
Toko Manisan,Frederik Hendriklaan,250,2582BM,'s-Gravenhage,,52.0900213,4.2748034,,,,false,,,,false,
Sgroppino Ristorante,Jacob Gillesstraat,21,2582XW,'s-Gravenhage,,52.0872210,4.2749004,https://sgroppino-ristorante.nl/,,,false,,,,false,
Grand Café Restaurant Binnen,Strandweg,29A,2586JK,'s-Gravenhage,NL,52.1136815,4.2814975,,,,false,,,,false,
Bombay Palace,Gevers Deynootstraat,16,2586HT,'s-Gravenhage,,52.1137403,4.2865402,https://bombay-palace.nl/,,,false,,,,false,
De Kleine Staat,Statenlaan,38K,2582GN,'s-Gravenhage,,52.0924783,4.2762218,,,,false,,,,false,
Today,Aert van der Goesstraat,42,2582AL,'s-Gravenhage,,52.0879990,4.2774738,,,,false,,,,false,
Elaichi,Aert van der Goesstraat,43,2582AJ,'s-Gravenhage,,52.0878198,4.2772193,,,,false,,,,false,
De Javaan,Aert van der Goesstraat,45,2582AJ,'s-Gravenhage,,52.0877989,4.2772880,,,,false,,,,false,
Walong,Frederik Hendriklaan,286,2582BN,'s-Gravenhage,,52.0894221,4.2751328,https://www.restaurantwalong.nl/,,,false,,,,false,
Encore by Simonis,Dr. Lelykade,5,2583CL,'s-Gravenhage,,52.0955967,4.2664288,https://www.simonisvis.nl/vestigingen/encore-by-simonis,,,false,,,,false,
Vincenzo's,Willem de Zwijgerlaan,46A,2582ER,'s-Gravenhage,,52.0906057,4.2738038,https://vincenzos.nl/,,,false,,,,false,
Restaurant Cru,Badhuisstraat,230,2584HN,'s-Gravenhage,,52.1033161,4.2793209,https://restaurantcru.nl/cru/,,,false,,,,false,
Tasty,Frederik Hendriklaan,58,2582BD,'s-Gravenhage,,52.0947239,4.2776884,,,,false,,,,false,
"Restaurant ""De Dis""",Badhuisstraat,6,2584HK,'s-Gravenhage,,52.1059737,4.2794440,,,,false,,,,false,
Wok & Chinese Mix,Keizerstraat,75,2584BC,'s-Gravenhage,,52.1058099,4.2739939,,,,false,,,,false,
Grillroom Miami beach,Zeekant,84,2586JA,'s-Gravenhage,,52.1147843,4.2848499,,,,false,,,,false,
La Bruschetta,Aert van der Goesstraat,9,2582AH,'s-Gravenhage,,52.0882331,4.2764465,,,,false,,,,false,
Kyoju,Plesmanlaan,178,2497CC,'s-Gravenhage,,52.0401687,4.3680829,,,,false,,,,false,
La Galleria,Strandweg,51,2586JL,'s-Gravenhage,,52.1144535,4.2823971,https://www.lagalleria.nl/la-galleria-boulevard-scheveningen/,,,false,,,,false,
Corfu,Plesmanlaan,184,2497CC,'s-Gravenhage,,52.0402621,4.3682274,https://www.corfuypenburg.nl/,,,false,,,,false,
Gusto di Italb,Brigantijnlaan,9,2496ZR,'s-Gravenhage,,52.0535062,4.3867940,https://www.gustodiitalb.nl/,,,false,,,,false,
Eetcafe De Maatschappij,Keizerstraat,67,2584BC,'s-Gravenhage,,52.1060935,4.2736550,https://demaatschappij.nl/,,,false,,,,false,
Yami yami,Plesmanlaan,186,2497CC,'s-Gravenhage,,52.0403152,4.3683159,https://yami-yami.nl/,,,false,,,,false,
Sallo's,Moezel,1A,2491CV,'s-Gravenhage,,52.0653016,4.3858051,https://sallos.nl/,,,false,,,,false,
Basaal,Dunne Bierkade,3,2512BC,'s-Gravenhage,,52.0737408,4.3161906,https://www.restaurantbasaal.nl/,,,false,,,,false,
El Barrio tapas,Uilebomen,,,'s-Gravenhage,,52.0753522,4.3208710,,,,false,,,,false,
Trattoria Ferron,Oostduinlaan,127,2596JK,'s-Gravenhage,,52.0977021,4.3112389,,,,false,,,,false,
Lunchroom Royal Corner,Van Hogenhoucklaan,146,2596TJ,'s-Gravenhage,,52.1012973,4.3144684,https://www.royalcorner.nl/,,,false,,,,false,
Runners,Van Hogenhoucklaan,168,2596TJ,'s-Gravenhage,,52.1015409,4.3142115,https://restaurantrunners.nl/,,,false,,,,false,
Brasserie Le Quartier,Van Hoytemastraat,43,2596EN,'s-Gravenhage,,52.0923878,4.3253168,,,,false,,,,false,
Cucina Di Casa,Paul Gabriëlstraat,60,2596VG,'s-Gravenhage,,52.0932800,4.3238544,https://cucinadicasa.nl/,,,false,,,,false,
Donato Delicatessen,Van Hoytemastraat,22A,2596ER,'s-Gravenhage,,52.0918499,4.3251510,https://donatodelicatessen.nl/,,,false,,,,false,
Eten bij Werelds,Bierkade,16A,2512AB,'s-Gravenhage,,52.0748422,4.3187715,https://etenbijwerelds.nl/,,,false,,,,false,
La Luna,Weissenbruchstraat,79,2596GC,'s-Gravenhage,,52.0900520,4.3203108,https://www.ristorantelaluna.nl/,,,false,,,,false,
Bij Mauce,Theresiastraat,14,2593AN,'s-Gravenhage,,52.0837088,4.3309764,https://bijmauce.nl/,,,false,,,,false,
Baardman,Theresiastraat,18A,2593AN,'s-Gravenhage,,52.0838417,4.3312996,,,,false,,,,false,
De Coterie,Theresiastraat,37,2593AA,'s-Gravenhage,,52.0831622,4.3305795,https://www.decoterie.nl/,,,false,,,,false,
La Vina,Theresiastraat,39,2593AA,'s-Gravenhage,,52.0832071,4.3306806,https://lavina.nl/,,,false,,,,false,
Het Pleidooi,Adelheidstraat,87A,2595EC,'s-Gravenhage,,52.0829938,4.3314378,https://hetpleidooi.nl/,,,false,,,,false,
JR's Cuisine,3e Louise de Colignystraat,155;161,2595SP,'s-Gravenhage,,52.0813619,4.3421998,https://jrcuisine.nl/,,,false,,,,false,
Tabasco,Theresiastraat,12,2593AN,'s-Gravenhage,,52.0835400,4.3307191,https://tabascohapjesbar.nl/,,,false,,,,false,
Pizzeria Toscana,3e Louise de Colignystraat,159,2595SP,'s-Gravenhage,,52.0813491,4.3423121,https://pizzatoscana.nl/,,,false,,,,false,
Donato Ristorante Pizzeria,Bezuidenhoutseweg,116,2594AZ,'s-Gravenhage,,52.0868941,4.3330638,https://donatoristorante.nl/,,,false,,,,false,
Bon Vivant,Laan van Nieuw-Oost-Indië,9A,2593BH,'s-Gravenhage,,52.0873152,4.3355064,https://www.restaurantbonvivant.nl/,,,false,,,,false,
BLT,Theresiastraat,15,2593AA,'s-Gravenhage,,52.0830837,4.3304387,https://blt-food.nl/,,,false,,,,false,
Paviljoen Kobus,Trekweg,121,2516SB,'s-Gravenhage,,52.0670858,4.3338031,,,,false,,,,false,
Mevlanam,Wenckebachstraat,2-BIS,2522CL,'s-Gravenhage,,52.0627839,4.3334164,,,,false,,,,false,
Café-restaurant Pan,2e Louise de Colignystraat,53,2595SM,'s-Gravenhage,,52.0815812,4.3377630,https://www.cafepan.nl/,,,false,,,,false,
Karczma Polski Stól,Rijswijkseweg,369,2516HJ,'s-Gravenhage,NL,52.0613176,4.3331662,,,,false,,,,false,
Navagio,Lorentzplein,1,2522EA,'s-Gravenhage,,52.0612628,4.3279012,,,,false,,,,false,
Thessaloniki,Van Musschenbroekstraat,259,2522AN,'s-Gravenhage,,52.0613782,4.3279666,,,,false,,,,false,
Cleopatra,Goeverneurlaan,155,2523BD,'s-Gravenhage,,52.0598958,4.3250065,,,,false,,,,false,
Lasanie,Rijswijkseweg,331,2516HG,'s-Gravenhage,,52.0617477,4.3327638,https://lasanie.nl/,,,false,,,,false,
Foe City,Willem Royaardsplein,20,2597GS,'s-Gravenhage,,52.1045818,4.3247542,,,,false,,,,false,
Sapore di Mare,Hildebrandstraat,145,2524VG,'s-Gravenhage,,52.0562147,4.3124985,,,,false,,,,false,
Aleppo Castle,Goeverneurplein,4,2523EA,'s-Gravenhage,,52.0560635,4.3140170,,,,false,,,,false,
Camp David,Jonckbloetplein,9,2523AR,'s-Gravenhage,,52.0590258,4.3218495,https://www.restaurantcampdavidden.nl/foodticket/,,,false,,,,false,
Bolu Dağı Restaurant,Goeverneurlaan,469,2523CC,'s-Gravenhage,,52.0575578,4.3184603,,,,false,,,,false,
Diwan Restaurant,Goeverneurlaan,655,2523CJ,'s-Gravenhage,,52.0561739,4.3146425,,,,false,,,,false,
Mekar Sari,Tarwekamp,11,2592XG,'s-Gravenhage,,52.0886038,4.3532035,,,,false,,,,false,
Toko Djadi,Laan van Nieuw-Oost-Indië,110,2593BZ,'s-Gravenhage,,52.0851872,4.3386283,https://www.tokodjadi.nl/,,,false,,,,false,
Toko Si-Pentje,Merkusstraat,196,2593TR,'s-Gravenhage,,52.0887500,4.3438511,http://www.tokosi-pentje.nl/,,,false,,,,false,
Roberto's eten en drinken,Theresiastraat,250,2593AW,'s-Gravenhage,,52.0870223,4.3385689,https://www.robertosetenendrinken.nl/,,,false,,,,false,
It's all Greek 2 me,Laan van Nieuw-Oost-Indië,276,2593CE,'s-Gravenhage,,52.0814238,4.3429731,https://www.itsallgreek2me.nl/,,,false,,,,false,
Harput,Theresiastraat,208,2593AV,'s-Gravenhage,,52.0867068,4.3378795,https://harput.nl/den-haag/,,,false,,,,false,
Restaurant Christian,IJsclubweg,111,2593HH,'s-Gravenhage,,52.0844088,4.3508615,https://nieuweveenmolen.nl/,,,false,,,,false,
Pizzeria Taormina,Stuyvesantstraat,33,2593GA,'s-Gravenhage,,52.0819476,4.3429334,https://www.pizzeriataormina.nl/foodticket/,,,false,,,,false,
Golden Palace,Theresiastraat,358,2593AZ,'s-Gravenhage,,52.0885704,4.3419385,,,,false,,,,false,
Lin Tong,Goeverneurlaan,678,2523CS,'s-Gravenhage,,52.0560845,4.3153518,,,,false,,,,false,
Wen Wah,Het Kleine Loo,192,2592CK,'s-Gravenhage,,52.0916438,4.3568849,,,,false,,,,false,
DaMoer,Assumburgweg,2,2531RX,'s-Gravenhage,,52.0543013,4.3079149,,,,false,,,,false,
Damas,Goeverneurlaan,702,2523CS,'s-Gravenhage,,52.0559520,4.3149692,http://damasrestaurant.nl/,,,false,,,,false,
Loetje,Saturnusstraat,100,2516AH,'s-Gravenhage,,52.0647113,4.3453654,,,,false,,,,false,
Restaurant Leeuwenbergh,Elzenlaan,31,2495AZ,'s-Gravenhage,,52.0574152,4.3631529,https://restaurantleeuwenbergh.nl/,,,false,,,,false,
De Kleine Prins,Bagijnestraat,1,2511CK,'s-Gravenhage,,52.0784954,4.3148395,,,,false,,,,false,
Tandr,Turfmarkt,10,2511CA,'s-Gravenhage,,52.0776968,4.3176090,https://www.tandr.nl/,,,false,,,,false,
Salsa shop,Rijnstraat,10C,2515XP,'s-Gravenhage,,52.0800537,4.3228720,,,,false,,,,false,
Takoyaki Kindako,Lange Poten,1,2511CL,'s-Gravenhage,,52.0784475,4.3140687,https://kindako.nl/,,,false,,,,false,
Phonsawan,Fluwelen Burgwal,11C,2511CH,'s-Gravenhage,,52.0794662,4.3183431,https://phonsawan.nl/,,,false,,,,false,
Pinocchio,Korte Poten,12,2511ED,'s-Gravenhage,,52.0798782,4.3171142,https://pinocchiodenhaag.nl/,,,false,,,,false,
Het Kookplein,Muzenplein,121,2511GK,'s-Gravenhage,,52.0794284,4.3199154,http://www.kookplein.nl/,,,false,,,,false,
Bibimbap,Fluwelen Burgwal,14,2511CJ,'s-Gravenhage,,52.0799152,4.3185933,,,,false,,,,false,
Moya Tapas Club,Plein,13;14,2511CR,'s-Gravenhage,,52.0797244,4.3167160,https://www.moyatapasclub.nl/,,,false,,,,false,
Vulcan,Muzenplein,135,2511GK,'s-Gravenhage,,52.0792731,4.3198720,https://vulcanrestaurant.nl/,,,false,,,,false,
Cloos,Plein,12,2511CR,'s-Gravenhage,,52.0795434,4.3165932,https://www.eetcafecloos.nl/,,,false,,,,false,
King David,Herenstraat,24,2511EA,'s-Gravenhage,,52.0804845,4.3177446,https://www.kingdavidsteakhouse.nl/foodticket/,,,false,,,,false,
Hofhouse,Rijnstraat,10,2515XP,'s-Gravenhage,,52.0796079,4.3229142,https://hofhouse.nl/,,,false,,,,false,
Takumi Ramen,Herengracht,12A,2511EH,'s-Gravenhage,,52.0806536,4.3185331,https://takumiramennoodles.com/nl/denhaag-herengracht/,,,false,,,,false,
D'Javas,Muzenplein,149,2511GK,'s-Gravenhage,,52.0791847,4.3197382,https://www.djavas.nl/,,,false,,,,false,
The Hangout,Korte Houtstraat,14C,2511CD,'s-Gravenhage,,52.0791130,4.3171968,,,,false,,,,false,
Barlow,Plein,15;16,2511CR,'s-Gravenhage,,52.0798606,4.3166065,https://www.barlowdenhaag.nl/,,,false,,,,false,
Schlemmer,Lange Houtstraat,17,2511CV,'s-Gravenhage,,52.0814326,4.3154736,https://schlemmer.nl/,,,false,,,,false,
Sumo,Herengracht,2,2511EH,'s-Gravenhage,,52.0805193,4.3182143,https://www.restaurantsumo.com/sumo-sushi-den-haag/,,,false,,,,false,
Kafe Kafka,Turfmarkt,2,2511CA,'s-Gravenhage,,52.0774443,4.3170862,,,,false,,,,false,
Poké perfect,Turfmarkt,224,2511DJ,'s-Gravenhage,,52.0791896,4.3207160,,,,false,,,,false,
Casa Argentina,Korte Houtstraat,14M,2511CD,'s-Gravenhage,,52.0790466,4.3172614,https://casa-argentina.nl/,,,false,,,,false,
Seafood Bar 19,Plein,19,2511CS,'s-Gravenhage,,52.0800777,4.3164466,https://bar-19.nl/,,,false,,,,false,
